Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Dimitri Foulquier,Valencia,DF,31.0,2299,0,1,0.4,1.4,48,16,86,78.9,97,48,66,2,13,10,1530,64.8,257.0,224.09,357.0,DF,1
Juan Foyth,Villarreal,DF,26.0,1517,1,0,2.4,0.3,25,19,119,87.0,65,13,11,5,17,7,1190,45.3,266.5,150.1,160.5,DF,1
Fran,Real Madrid,GK,19.0,90,0,0,0.0,0.0,0,0,2,95.0,0,0,0,0,0,0,22,0.0,3.0,9.5,2.2,GK,0
Alejandro Francés,Girona,DF,21.0,1173,0,0,0.2,0.3,36,17,52,84.3,63,18,21,0,6,4,969,24.4,184.0,141.33,165.9,DF,3
Przemysław Frankowski,Lens,DF,29.0,1387,4,2,2.3,2.5,32,19,28,80.1,117,33,95,5,14,20,1230,71.1,144.0,285.51,362.5,DF,5
Enric Franquesa,Leganés,"DF,FW",27.0,616,1,0,0.3,0.1,17,5,12,70.2,12,11,30,1,3,2,306,19.1,62.0,34.32,107.1,DF,0
Ryan Fraser,Southampton,"FW,DF",30.0,306,0,0,0.0,0.1,6,1,9,74.8,8,10,18,1,1,2,131,12.5,27.5,26.78,64.1,DF,0
Davide Frattesi,Inter,MF,24.0,1158,5,1,4.0,0.8,17,5,14,82.5,31,23,50,7,26,7,499,82.5,65.0,86.15,184.4,MF,3
Tyler Fredricson,Manchester Utd,DF,19.0,165,0,0,0.0,0.0,5,1,11,90.2,8,2,0,0,0,0,141,2.0,28.5,25.020000000000003,17.1,DF,0
Morten Frendrup,Genoa,MF,23.0,3103,2,0,1.6,0.9,102,47,57,85.4,106,24,29,9,30,14,1647,76.7,383.5,244.24,258.70000000000005,MF,1
Martin Frese,Hellas Verona,DF,26.0,549,0,0,0.1,0.2,18,8,16,71.1,19,7,12,0,2,5,320,9.2,76.0,53.21,66.5,DF,0
